QueryText,KccAns
Farmer asked query on Weather,"CLOUDY WEATHER, CHANCE OF SHOWERS IN YOUR AREA 
వాతావరణం మబ్బులుగా ఉంటుంది , జల్లులు పడే అవకాశం కలదు "
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
"
Farmer asked query on Weather," CLOUDY WEATHER,CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మొబ్బులతో ఉంటుంది ,జల్లులు పడే అవకాశం ఉంది
"
Farmer asked query on Weather,"CLOUDY WEATHER, CHANCE OF SHOWERS IN YOUR AREA 
వాతావరణం మబ్బులుగా ఉంటుంది , జల్లులు పడే అవకాశం కలదు "
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
Farmer asked query on Weather,"WEATHER REPORT :  THERE IS CHANCE OF DRY WEATHER  IN YOUR AREA మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది
"
FARMER ASKED QUERY ON PEST CONTROL IN COTTON ,"RECOMMENDED TO SPRAY AZADIRHACHTIN 5 ML / 1 LITRE OF WATER 
  వేప నూనె 5 మిల్లి లీటర్లు / 1  లీటర్ నీటికి  చొప్పున   కలిపి   పిచికారి చేయాలి  
"
Farmer asked query on Weather,"WEATHER REPORT : THERE IS A CHANCE OF CLOUDY WEATHER, SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు పడే అవకాశం ఉంది
"
Farmer asked query on Weather,"మీ ప్రాంతం లో మబ్బులు పాటి వర్షం పడే అవకాశం ఉంటుంది.
CLOUDY  WEATHER IN YOUR AREA AND  CHANCE OF RAIN
"
Farmer asked query on Weather,"CLOUDY WEATHER IN YOUR AREA AND NO CHANCE OF RAIN
మీ ప్రాంత లో మాబులతో కూడుకున్న వాతావరణం ఉంటుంది కానీ వర్షం లేదు 
"
FARMER ASKED QUERY ON GALL MIDGE IN PADDY,"RECOMMENDED TO SPRAY  FIPRONIL (REGENT) 500 ML / 200 LITRES OF WATER /ACRE  
 ఫిప్రోనిల్ 500  మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
"FARMER ASKED QUERY ABOUT MARKET INFORMATION OF COTTON, ONION","                                                                                                      Min Price  	 Modal Price	Max Price
ANDHRA PRADESH	KURNOOL	ONION	                        306	          1,769	          2,222
ANDHRA PRADESH	ADONI	        COTTON	                      4,958	          8,297	          9,250"
FARMER ASKED QUERY ABOUT THAT CAN INSECTICIDE AND NEEM OIL MIXED AND SPRAYED IN COTTON,RECOMMENDED TO MIX INSECTICIDE AND NEEM OIL AND SPRAYED
castor weed management ,"క్విజలోఫాప్-పి -ఇథైల్ 400  మిల్లి లీటర్లు (టర్గా సూపర్)/200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి
"
castor borer management ,"థయోడికార్బ్ 300 గ్రాములు  / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి
"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు "
Farmer asked query on Weather,"THERE IS A CHANCE OF CLOUDY SHOWERS IN YOUR AREA  
 మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు  పడే అవకాశం ఉంది 
"
FARMER ASKED QUERY ABOUT BPH MANAGEMENT ,"RECOMMENDED TO SPRAY BUPROFEZIN   (APPLAUD) 330 ML /200 LITRES OF WATER/ ACRE    
 బుప్రోఫెజిన్   330 మిల్లి లీటర్లు    / 200 లీటర్ల నీటికి చొప్పున కలిపిఒక ఎకరాకు పిచికారి చేయాలి 
"
Farmer asked query on Weather,"
WEATHER REPORT
THERE IS A CHANCE OF CLOUDY WEATHER AND RAINS IN YOUR AREA

"
Farmer asked query on Weather,"WEATHER REPORT :  THERE IS CHANCE OF DRY WEATHER  IN YOUR AREA మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది
"
Farmer asked query on Weather,"మీ ప్రాంతం లో మబ్బులు పాటి వర్షం పడే అవకాశం ఉంటుంది.
CLOUDY  WEATHER IN YOUR AREA AND  CHANCE OF RAIN
"
Farmer asked query on Weather,"WEATHER REPORT :  THERE IS CHANCE OF DRY WEATHER  IN YOUR AREA మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది
"
FARMER ASKED QUERY ON MARKET INFORMATION OF COTTON ,"                                                                         Min Price	Modal Price	Max Price (RS/QUINTAL)
ANDHRA PRADESH	ADONI	COTTON	   4,958	            8,297	          9,250"
Farmer asked query on Weather,"WEATHER REPORT : THERE IS A CHANCE OF CLOUDY WEATHER, SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు పడే అవకాశం ఉంది"
Farmer asked query on Weather,"TODAY THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA BUT NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది కానీ జల్లులు పడే అవకాశం లేదు
"
Farmer asked query on Weather,"CLOUDY WEATHER IN YOUR AREA AND NO CHANCE OF RAIN
మీ ప్రాంత లో మాబులతో కూడుకున్న వాతావరణం ఉంటుంది కానీ వర్షం లేదు 
"
FARMER ASKED QUERY ON  BPH MANAGEMENT  IN PADDY,"RECOMMENDED TO SPRAY  PYMETROZINE  (CHESS) 100 GRAMS /200 LITRES OF WATER/ ACRE       
ఫైమెట్రోజిన్  100  గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపిఒక ఎకరాకు పిచికారి చేయాలి 
"
Farmer asked query on Weather,"WEATHER REPORT : THERE IS A CHANCE OF CLOUDY WEATHER, SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు పడే అవకాశం ఉంది"
Farmer asked query on Weather,"THERE IS A CHANCE OF CLOUDY SHOWERS IN YOUR AREA  
 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు  పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు పడే అవకాశం ఉంది 
"
farmer asked query about on fruit fly  management in beera,recommended malathion 2 ml/1 ltr of water 
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు "
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
"
 FARMER ASKED QUERY ON GEMINI VIRUSMANAGEMENT  IN CHILLIES,"RECOMMENDED TO SPRAY DIMETHOATE 400(ROGER) ML /200 LITRES OF WATER /ACRE 
 డైమిథోయేట్  400 మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి (OR)

RECOMMENDED TO SPRAY ACETAMIPRID(PRIDE)   40 GRAMS  /200 LITRES OF WATER /ACRE 
అసిటామిప్రైడ్   40 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
FARMER ASKED QUERY ABOUT PM KISAN SAMMAN NIDHI YOJANA STATUS.,"Eligibility : NO
Reason: Beneficiary is Inactive due to Inelegibility.
RECOMMENDED TO CONTACT MANDAL AGRICULTURAL OFFICER FOR FURTHER DETAILS."
Farmer asked query on Weather,"WEATHER REPORT :  THERE IS CHANCE OF DRY WEATHER  IN YOUR AREA మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది

"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
"
Farmer asked query on Weather,"THERE IS A CHANCE OF SHOWERS IN YOUR AREA  
 మీ ప్రాంతములో వాతావరణం జల్లులు  పడే అవకాశం ఉంది
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది 
"
Farmer asked query on Weather,"THERE IS A CHANCE OF DRY WEATHER IN YOUR AREA
మీ ప్రాంతం లో వాతావరణం పొడిగా ఉంటుంది 
"
Farmer asked query on Weather,"CLOUDY WEATHER, CHANCE OF SHOWERS IN YOUR AREA 
వాతావరణం మబ్బులుగా ఉంటుంది , జల్లులు పడే అవకాశం కలదు 
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు  అవకాశం ఉంది 
"
Farmer asked query on Weather,"WEATHER REPORT : THERE IS A CHANCE OF CLOUDY WEATHER, SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు పడే అవకాశం ఉంది
"
Farmer asked query on Weather,"CLOUDY WEATHER, CHANCE OF SHOWERS IN YOUR AREA 
వాతావరణం మబ్బులుగా ఉంటుంది , జల్లులు పడే అవకాశం కలదు 
"
Farmer asked query on Weather,"CLOUDY WEATHER, CHANCE OF SHOWERS IN YOUR AREA 
వాతావరణం మబ్బులుగా ఉంటుంది , జల్లులు పడే అవకాశం కలదు 
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు  అవకాశం ఉంది 
"
Farmer asked query on Weather,"WEATHER REPORT :  THERE IS CHANCE OF DRY WEATHER  IN YOUR AREA మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది

"
Farmer asked query on Weather,"WEATHER REPORT:
CLOUDY WEATHER IN YOUR AREA AND  CHANCE OF RAIN
మీ ప్రాంతం లో మబ్బులు పాటి వర్షం పడే అవకాశం ఉంటుంది.
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
"
FARMER ASKED QUERY ON STEM ROT MANAGEMENT IN CHILLIES,"RECOMMENDED TO SPRAY METALAXYL   (RIDOMIL) 200 GRAMS / 200 LITRES OF WATER /ACRE   
మెటలాక్సిల్  మే  200 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
   FARMER ASKED QUERY ON NUTRIENT MANAGEMENT IN CHILLIES,"RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45 @ 5 GRAMS/1 LITER OF WATER(1KG/ACRE)
పొటాషియం  నైట్రేట్  13-0-45 @ 5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి 
"
Farmer asked query on Weather,"        CLOUDY WEATHER, CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతంలో వాతావరణం మబ్బులుగా ఉంటుంది , జల్లులు పడే అవకాశం కలదు
"
 FARMER ASKED QUERY ON BORER MANAGEMENT IN BLACK GRAM - MARUKA SPOTED BOLL WORM,"RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  (PROCLAIM) 90 GRAMS /200 LITRES OF WATER / ACRE  
ఎమామెక్టిన్  బెంజోయేట్  90 గ్రాములు   /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
Farmer asked query on Weather,"WEATHER REPORT :  THERE IS CHANCE OF DRY WEATHER  IN YOUR AREA మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది
"
"FARMER ASKED QUERY ON VARIETIES OF MAIZE
","RECOMMENDED MAIZE VARIETIES
DHM- 1,103,105,107,109,111
"
Farmer asked query on Weather,":THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
"
cucumber seed varieties ,"recommended to  seed varieties  r.s.s.m-1,r.s.s.m-3 "
cucumber seed rate ,recommended to seed rate 1.0 -1.4 kg acre 
FARMER ASKED QUERY ABOUT WESTERN FLOWER THRIPS MANAGEMENT IN CHILLI,RECOMMENDED TO SPRAY BEAUVERIA BASSIANA- 5 ML/1 LITER OF WATER
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
  FARMER ASKED QUERY ON SUCKING PEST MANAGEMENT CHILLI ,"RECOMMENDED TO SPRAY AZADIRHACHTIN 5 ML / 1 LITRE OF WATER 
  వేప నూనె 5 మిల్లి లీటర్లు / 1  లీటర్ నీటికి  చొప్పున   కలిపి   పిచికారి చేయాలి  
RECOMMENDED TO SPRAY SPIROMESIFEN (OBERON) 200ML /150 LITRES OF WATER /ACRE    స్పైరోమైసిఫెన్  200 మిల్లి లీటర్లు /150 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి
"
FARMER ASKED QUERY ABOUT CASTOR HYBRIDS,"PCH 111----------------7 TO 8 Quintals/ACRE
ICH66   ---------------- 7 TO 9 Quintals/ACRE
DCH 177---------------6 TO 7.5Quintals/ACRE"
Farmer asked query on Weather,"WEATHER REPORT :  THERE IS CHANCE OF DRY WEATHER  IN YOUR AREA మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది
"
FARMER ASKED QUERY ABOUT  SPOTTED POD BORER IN BLACK GRAM,"RECOMMENDED TO SPRAY FLUBENDIAMIDE  (FAME) 40 ML /200 LITRES OF WATER / ACRE  
ఫ్లూబెండమైడ్   40 మిల్లి లీటర్లు   /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
Farmer asked query on Weather,"CLOUDY WEATHER, CHANCE OF SHOWERS IN YOUR AREA 
వాతావరణం మబ్బులుగా ఉంటుంది , జల్లులు పడే అవకాశం కలదు 
	
"
FARMER ASKED QUERY ABOUT MARKET INFORMATION OF CHILLI,"                                                                                               Min Price	  Modal Price	Max Price
ANDHRA PRADESH	GUNTUR	        CHILLI BADIGA	   7,000	    28,000	     39,500
ANDHRA PRADESH	GUNTUR       	  CHILLI-TEJA	          10,000	     20,000	     37,000"
FARMER ASKED QUERY ON SUNFLOWER SEEDS  AVIALABILITY,"KRISHI VIGNAN KENDRA ,UTUKURU, KADAPA;
CONTACT DETAILS; 08562-231331
9989623825"
FARMER ASKED QUERY ABOUT MITE MANAGEMENT IN CHILLI,RECOMMENDED TO SPRAY  SPIROMESIFEN  (OBERON) 200 ML/200 LITRES OF WATER /ACRE స్పైరోమైసిఫెన్ 200 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి 
  FARMER ASKED QUERY ON WESTERN BLACK THRIPS CONTROL IN CHILLI ,"RECOMMENDED TO SPRAY SPINOSAD (TRACER) 75 ML/200 LITRES OF WATER / ACRE 
స్పైనోసాడ్  75  మిల్లి లీటర్లు   /200 లీటర్ల నీటికి చొప్పున కలిపిఒక ఎకరాకు పిచికారి చేయాలి 
"
 FARMER ASKED QUERY ON SUCKING PEST CONTROL IN CHILLI,RECOMMENDED TO SPRAY  BETA CYFLUTHRIN+IMIDACLOPRID  (BAYER-SOLOMAN) 400 ML / 200 LITRES OF WATER /ACRE 
 FARMER ASKED QUERY ON SUCKING PEST MANAGEMENT IN CHILLIES,RECOMMENDED TO SPRAY FIPRONIL +IMIDACLOPRID (POLICE) 100 GRAMS/200 LITRES OF WATER /ACRE  
Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది
FARMER ASKED QUERY ON SUCKING PEST MANAGEMENT IN CHILLIES,RECOMMENDED TO SPRAY FIPRONIL +IMIDACLOPRID (POLICE) 100 GRAMS/200 LITRES OF WATER /ACRE  
farmer asked about collar rot /root rot management in Bengal gram ?,"RECOMMENDED TO DRENCH COPPER OXYCHLORIDE  (BLITOX) 3 GRAMS / 1 LITRE OF WATER  కాపర్ ఆక్సీక్లోరైడ్ 3 గ్రాములు / లీటర్ నీటిలో కలిపి మొక్క మొదల్ల దగ్గర పోయాలి  (or)
RECOMMENDED TO DRENCH WITH MANCOZEB  (M-45) 600 GRAMS / 200 LITRES OF WATER / ACRE   "
farmer asked about head borer control in sunflower ?,"RECOMMENDED TO SPRAY    NOVALURAN  (REMON) 300 ML /200 LITRES OF WATER / ACRE  
నొవాల్యురాన్  300 మిల్లి లీటర్లు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి."
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు
"
   FARMER ASKED QUERY ON SOWING TIME OF CASTOR,RECOMMENDED TO  SOWING TIME OF CASTOR-OCTOBER TO NOVEMBER MONTH
Farmer asked query on Weather,"CLOUDY WEATHER IN YOUR AREA  AND NO CHANCE OF RAIN
 ఈ రోజు మీ ప్రాంతOలో మాబులతో కూడుకున్న వాతావరణం ఉంటుంది కానీ వర్షం లేదు
"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు
"
famer asked about sowing of black gram and green gram on field bunds afters spraying of Glyphosate ?,"recommended that, sow the black gram and green gram on field bunds at 10-15 days after spraying of Glyphosate"
FARMER ASKED QUERY ON BLAST MANAGEMENT IN PADDY,"RECOMMENDED TO SPRAY TRICYCLAZOLE + MANCOZEB (MERGER) 400 GRAMS/200 LITRES OF WATER /ACRE   
ట్రైసైక్లోజోల్ + మాంకోజెబ్ 400 గ్రాములు /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి  
"
Farmer asked price detail of Cotton in Adoni mandi.,"29/11/2022
Mandi  : Adoni
Commodity : Cotton
(Modal Price):9100/Quintal
(MAX Price): 9130/Quintal"
Farmer asked query on Weather,"      CLOUDY WEATHER IN YOUR AREA  AND NO CHANCE OF RAIN
 ఈ రోజు మీ ప్రాంతOలో మాబులతో కూడుకున్న వాతావరణం ఉంటుంది కానీ వర్షం లేదు
"
FARMER ASKED QUERY ON PLANTATION CROPS,PLANTATION CROPS -73826333671
farmer asked query on weed management in groundnut ?,"-కలుపు యాజమాన్యం
పెండామిథాలిన్ 1.3-1.6 లీ/ఎకరానికి 200లీ నీళ్ళలో కలిపి విత్తిన 48గం. లోపు పిచికారి చేయాలి."
FARMER ASKED QUERY ON WEED MANAGEMENT IN PADDY,RECOMMENDED FOR MANUAL WEEDING 
"FARMER ASKED QUERY ON NUTRIENT MANAGEMENT IN CHILLI
","RECOMMENDED TO SPRAY AGROMINIMAX 3 GRAMS /1 LITER OF WATER 
 అగ్రోమిం మాక్స్ @౩గ్రాములు ఒక లీటర్ నీటికి.(ఎకరానికి 600 గ్రాములు 200 లీటర్ల నీటికి కలిపి పిచికారీ చేయాలి  )  /
RECOMMENDED TO SPRAY FORMULA-4 - 3 GRAM  / 1 LITER OF WATER , (600 GRAMS/200 LITER OF WATER/ ACRE) ఫార్ములా -4 600 గ్రాములు  / 200 లీటరు నీటికి కలిపి పిచికారీ చేయండి                                                        "
"
FARMER ASKED QUERY ON DISEASE MANAGEMENT  IN CHILLI CROP

","       RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  (BLITOX)(BLUE COPPER) 600  GM /200 LITRES OF WATER / ACRE  
కాపర్ ఆక్సీక్లోరైడ్  600 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
RECOMMENDED  TO SPRAY STREPTOCYCLINE   20 GRAM  / 200 LITRES OF WATER /ACRE   స్టెఫ్టోసైక్లిన్ 20  గ్రాములు /200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి 
"
Farmer asked query on Weather,"THERE IS A CHANCE  OF CLOUDY WEATHER BUT  NO CHANCE OF SHOWERS IN YOUR AREA.
మీ  ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది కానీ జల్లులు  అవకాశం లేదు 
"
"FARMER ASKED QUERY ON FERTILIZER MANAGEMENT IN MAIZE

","FERTILISER DOSAGES:   RECOMMENDED TO APPLY S 40 UREA   KGS  + 15 MURATE OF POTASH  KGS  /ACRE  
యూరియ 40 కిలోలు  +  15 మ్యూరేట్  ఆఫ్ పోటాష్ 25 కిలోలు   / 1 ఎకరా  కు వేయాలి  "
  FARMER ASKED QUERY ON FERTILIZER AND   ZERO TILLAGE IN MAIZE,"AGRICULTUTE REASEARCH STATION PEDDAPURAM,EAST GODAVARI DISTRICT 
 CONACT DETAILS; 08852-241853
                                 9959792568
"
FARMER ASKED QUERY ABOUT YSR ZERO INTEREST SCHEME DETAILS.,#NAME?
FARMER ASKED QUERY ON THRIPS MANAGEMENT IN CHILLI,"RECOMMENDED TO SPRAY DIMETHOATE (ROGER)  400 ML /200 LITRES OF WATER /ACRE 
 డైమిథోయేట్  400 మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి "
FARMER ASKED QUERY ABOUT PM KISAN SAMMAN NIDHI YOJANA STATUS,"RECOMMENDED TO RAISE THE QUERY IN PM KISAN HELP DESK.
RECOMMENDED TO CONTACT --155261 FOR FURTHER DETAILS."
"FARMER ASKED QUERY ON YSR ZERO INTEREST SCHEME
","PLEASE CONTACT MANDAL AGRICULTURAL OFFICER ABOUT THIS SCHEME
"
FARMER ASKED QUERY ON NUTRIENT MANAGEMENT IN PADDY ,"RECOMMENDED TO SPRAY ZINC SULPHATE  2 GRAMS / 1 LITRE OF WATER
"
  FARMER ASKED QUERY ON  KISAN CREDIT CARD ,FOR MORE INFORMATION CONTACT MANDAL AGRICULTURE OFFICER
 FARMER ASKED QUERY ON  SOWING TIME IN RABI SEASON," RECOMMENDED IN RABI SEASON GROUNDNUT RABI ; NOVEMBER - DEC 15 
 PUMPKIN , ASH GOURD, RIDGE GOURD , SNAKE GOURD"
farmer asked query on about sucking pest management in chilli ,"RECOMMENDED TO SPRAY THIAMETHOXAM (ACTARA/CRULSER) 40 GRAMS /200 LITRES OF WATER / ACRE   థయోమిథాక్జొమ్ 40 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
RECOMMENDED TO SPRAY AZADIRHACHTIN ( NEEM SEED KERNAL OIL )  1 LITRE  /200 LITRES OF WATER /ACRE 
 వేప నూనె 1 లీటర్ /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక  ఎకరాకు  పిచికారి చేయాలి  
"
FARMER ASKED QUERY ABOUT ROOT ROT MANAGEMENT IN CHILLI ,"--RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  (BLITOX)(BLUE COPPER) 600  GM /200 LITRES OF WATER / ACRE  
కాపర్ ఆక్సీక్లోరైడ్  600 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
FLOWERING IN MANGO ,"RECOMMENDED TO SPRAY BORAX 3 GRAMS /1 LITR OF WATER (600 GRAMS /ACRE/200 LITER WATER)
"
Farmer asked query on Weather,"THERE IS A CHANCE  OF CLOUDY WEATHER BUT  NO CHANCE OF SHOWERS IN YOUR AREA.
మీ  ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది కానీ జల్లులు  అవకాశం లేదు 
"
Farmer asked price detail of Arhar (Tur/Red Gram)(Whole) in Kurnool mandi.,"29/11/2022
Mandi : Kurnool
Commodity : Arhar (Tur/Red Gram)(Whole)
(Modal Price): 4896/Quintal"
Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
FARMER ASKED QUERY ON BORER MANAGEMENT IN GROUNDNUT," RECOMMENDED TO SPRAY THIODICARB (LARVIN) 1.5 GRAM / 1 LITER OF WATER 300 GR 200 LITRES OF WATER / ACRE   
థయోడికార్బ్ 300 గ్రాములు  / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి
"
  FARMER ASKED QUERY ON WESTERN BLACK THRIPS CONTROL IN CHILLI,"RECOMMENDED TO SPRAY FIPRONIL +IMIDACLOPRID (POLICE,LESENTA)100GM/ 200 LITER OF WATER/ ACRE
"
FARMER ASKED QUERY ON PADDY LEAF FOLDER MANAGEMENT ,"RECOMMENDED TO SPRAY CARTAP HYDROCHLORIDE (PADAN) 400 GRAMS/ 200 LITRES OF WATER / ACRE 
కార్టాప్ హైడ్రోక్లోరైడ్ 400 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున  కలిపి ఒక ఎకరాకు పిచికారి చేయాలి   
"
FARMER ASKED QUERY ON STICKY TRAPS,RECOMMENDED BLUE STICY TRAPS FOR THRIPS AND YELLOW FOR WHITE FLIES
FARMER ASKED QUERY ON STICKY TRAPS,RECOMMENDED TO 8-10 / ACRE
FARMER ASKED QUERY ABOUT ON FRUIT ROT MANAGEMENT IN CHILLI,RECOMMEDED TO SPRAY PROPICONAZOLE 200 ML/200 LTRS OF WATER/ACRE
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA BUT NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది కానీ జల్లులు పడే అవకాశం లేదు
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
"
Farmer asked query on Weather,"THERE IS A CHANCE OF CLOUDY WEATHER BUT NO CHANCE OF SHOWERS IN YOUR AREA. 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది కానీ జల్లులు అవకాశం లేదు "
farmer asked query on seed rate of rice followed by black gram ?,"-ఖరిఫ్ వరి తర్వాత :
16-18 కిలోలు ఎకరాకు.

"
" FARMER ASKED QUERY ON VARITIES IN BLACK GRAM 
","RECOMMENDED VARITIES ARE L.B.G-787,T.B.J-104,J.B.J-1"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది,  జల్లులు పడే అవకాశం లేదు .
"
FARMER ASKED QUERY ON NUTRIENT MANAGEMENT IN COTTON,"RECOMMENDED TO SPRAY NAPHTHALENE ACETIC ACID (PLANOFIX )50 ML/ 200 LITRES OF WATER /ACRE  
 పూత పిందె రాలకుండా -నాప్తలీన్ అసిటిక్ ఆసిడ్(ప్లానోఫిక్స్ ) 50 మిల్లి లీటర్లు  200 లీటర్ల నీటికి చొప్పున కలిపి 1 ఎకరా కు పిచికారి చేయాలి 
"
